id,name,translatedTooltip,translatedHumanName
1,armaak,Advanced Amphibious Anti-Air Bot,Archangel
2,armaap,Produces Tech 2 Aircraft,Advanced Aircraft Plant
3,armaas,Anti-Air Ship,Dragonslayer
4,armaca,Tech 2 Constructor,Advanced Construction Aircraft
5,armack,Tech 2 Constructor,Advanced Construction Bot
6,armacsub,Tech 2 Constructor,Advanced Construction Sub
7,armacv,Tech 2 Constructor,Advanced Construction Vehicle
8,armadvsol,Produces 75 Energy,Advanced Solar Collector
9,armafus,Produces 3000 Energy (Hazardous),Advanced Fusion Reactor
10,armageo,Produces 1250 Energy (Hazardous),Advanced Geothermal Powerplant
11,armah,Anti-Air Hovercraft,Sweeper
12,armalab,Produces Tech 2 Bots,Advanced Bot Lab
13,armamb,Cloakable Pop-up Plasma Artillery,Rattlesnake
14,armamd,Anti-Nuke System,Citadel
15,armamex,Stealthy Cloakable Metal Extractor,Twilight
16,armamph,Amphibious Bot,Platypus
17,armamsub,Produces Amphibious / Underwater Units,Amphibious Complex
18,armanac,Hovertank,Crocodile
19,armanni,Tachyon Accelerator,Pulsar
20,armantiship,Mobile Anti-Nuke Generator and Radar/Sonar,Haven
21,armap,Produces Tech 1 Aircraft,Aircraft Plant
22,armarad,Long-Range Radar,Advanced Radar Tower
23,armart,Light Artillery Vehicle,Shellshocker
24,armaser,Radar Jammer Bot,Smuggler
25,armason,Extended Sonar,Advanced Sonar Station
26,armasp,Automatically Repairs Aircraft,Air Repair Pad
27,armassistdrone,Portable Buildpower,Assist Drone
28,armassistdrone_land,Portable Buildpower,Assist Vehicle
29,armasy,Produces Tech 2 Ships,Advanced Shipyard
30,armatl,Advanced Torpedo Launcher,Moray
31,armatlas,Light Air Transport,Stork
32,armavp,Produces Tech 2 Vehicles,Advanced Vehicle Plant
33,armawac,Radar / Sonar Plane,Oracle
34,armbanth,Assault Mech,Titan
35,armbats,Battleship,Dreadnought
36,armbeamer,Beam Laser Turret,Beamer
37,armbeaver,Amphibious Construction Vehicle,Beaver
38,armblade,Rapid Assault Gunship,Hornet
39,armbrawl,Gunship,Roughneck
40,armbrtha,Long Range Plasma Cannon,Basilica
41,armbull,Heavy Assault Tank,Bull
42,armca,Tech 1 Constructor,Construction Aircraft
43,armcarry,Aircraft Carrier with Anti-Nuke,Haven
44,armch,Tech 1 Constructor,Construction Hovercraft
